waypoint1	waypoint2	distance_m	duration_s
Mt Frissell Trailhead parking, Salisbury, CT 06068	Trl 110, Twin Lakes, CO	3166332	106928
Trl 110, Twin Lakes, CO	2715 Ebright Rd, Wilmington, DE 19810	2962586	99614
4000 Chesapeake St NW, Washington, DC 20016	Trl 110, Twin Lakes, CO	2832684	96183
Trl 110, Twin Lakes, CO	Britton Hill, Florida 32433	2416399	85345
Trl 110, Twin Lakes, CO	GA-180 Spur, Blairsville, GA 30512	2417684	82173
Borah Peak Trailhead, Mackay, ID 83251	Trl 110, Twin Lakes, CO	1221191	43972
Charles Mound, Scales Mound Township, IL 61075	Trl 110, Twin Lakes, CO	1606633	54734
Trl 110, Twin Lakes, CO	Hoozier Hill, Franklin Township, IN 47341	2049458	69011
Hawkeye Pt Rd, Sibley, IA 51249	Trl 110, Twin Lakes, CO	1223178	43766
Mount Sunflower, Weskan, KS 67762	Trl 110, Twin Lakes, CO	503527	19071
Trl 110, Twin Lakes, CO	Black Mountain Ridge Rd, Partridge, KY 40862	2341795	81209
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Trl 110, Twin Lakes, CO	1686122	59512
Trl 110, Twin Lakes, CO	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	3867532	130469
2428 Seneca Trail, Eglon, WV 26716	Trl 110, Twin Lakes, CO	2636145	89121
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Trl 110, Twin Lakes, CO	3148638	106658
Skanee, MI 49962	Trl 110, Twin Lakes, CO	2222919	75636
Trl 110, Twin Lakes, CO	Eagle Mountain Trailhead, Grand Marais, MN 55604	2068907	70566
105 Woodall Mountain Rd, Iuka, MS 38852	Trl 110, Twin Lakes, CO	2016715	70209
Trl 110, Twin Lakes, CO	High Point Trail Head, Ironton, MO 63650	1676332	57166
W Rosebud Lake Rd, Fishtail, MT 59028	Trl 110, Twin Lakes, CO	990671	40070
Panorama Point, Bushnell, NE 82082	Trl 110, Twin Lakes, CO	375236	15449
Boundary Peak Trailhead, Nevada 89010	Trl 110, Twin Lakes, CO	1370289	51322
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Trl 110, Twin Lakes, CO	3440663	118646
Monument Rd, Wantage, NJ 07461	Trl 110, Twin Lakes, CO	2993974	100237
Trl 110, Twin Lakes, CO	Taos Ski Valley, NM 87525	386541	16125
Trl 110, Twin Lakes, CO	Adirondack Loj Rd, Lake Placid, NY 12946	3172419	108108
Mount Mitchell Summit Trail, Burnsville, NC 28714	Trl 110, Twin Lakes, CO	2564359	87634
White Butte Trl, Bowman, ND 58623	Trl 110, Twin Lakes, CO	1045774	38262
2280 OH-540, Bellefontaine, OH 43311	Trl 110, Twin Lakes, CO	2182491	74029
Black Mesa Trail, Kenton, OK 73946	Trl 110, Twin Lakes, CO	522897	21562
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Trl 110, Twin Lakes, CO	1945039	67775
Mount Davis Observation Tower, Fort Hill, PA 15540	Trl 110, Twin Lakes, CO	2590899	87868
250-216 Hartford Pike, Foster, RI 02825	Trl 110, Twin Lakes, CO	3298884	110397
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Trl 110, Twin Lakes, CO	2569173	87368
Trl 110, Twin Lakes, CO	Palmer Creek Trailhead, Hill City, SD 57745	754321	28029
Clingmans Dome Tennessee High Point, Tennessee 37738	Trl 110, Twin Lakes, CO	2423606	83195
Pine Springs Trailhead, Salt Flat, TX 79847	Trl 110, Twin Lakes, CO	977763	36649
