waypoint1	waypoint2	distance_m	duration_s
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1194709	41953
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4763812	163863
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	904620	34444
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	W3206 Co Rd R R, Ogema, WI 54459	1934843	66563
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Trail Lake Trailhead, Dubois, WY 82513	3467696	117797
Skanee, MI 49962	Eagle Mountain Trailhead, Grand Marais, MN 55604	550687	23424
Skanee, MI 49962	105 Woodall Mountain Rd, Iuka, MS 38852	1525913	55158
Skanee, MI 49962	High Point Trail Head, Ironton, MO 63650	1245874	43874
Skanee, MI 49962	W Rosebud Lake Rd, Fishtail, MT 59028	1853952	67580
Skanee, MI 49962	Panorama Point, Bushnell, NE 82082	1932823	65304
Skanee, MI 49962	Boundary Peak Trailhead, Nevada 89010	3353414	116629
Skanee, MI 49962	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	1696122	67692
Monument Rd, Wantage, NJ 07461	Skanee, MI 49962	1786302	60920
Skanee, MI 49962	Taos Ski Valley, NM 87525	2401605	84134
Skanee, MI 49962	Adirondack Loj Rd, Lake Placid, NY 12946	1423194	56480
Skanee, MI 49962	Mount Mitchell Summit Trail, Burnsville, NC 28714	1764383	62606
White Butte Trl, Bowman, ND 58623	Skanee, MI 49962	1308037	48781
2280 OH-540, Bellefontaine, OH 43311	Skanee, MI 49962	1068547	37323
Black Mesa Trail, Kenton, OK 73946	Skanee, MI 49962	2159366	74707
Skanee, MI 49962	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	3121655	109416
Skanee, MI 49962	Mount Davis Observation Tower, Fort Hill, PA 15540	1423113	49531
Skanee, MI 49962	250-216 Hartford Pike, Foster, RI 02825	1901034	64963
Skanee, MI 49962	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1769197	62340
Skanee, MI 49962	Palmer Creek Trailhead, Hill City, SD 57745	1564857	54481
Skanee, MI 49962	Clingmans Dome Tennessee High Point, Tennessee 37738	1623629	58167
Skanee, MI 49962	Pine Springs Trailhead, Salt Flat, TX 79847	2782291	93733
Skanee, MI 49962	85GFWM59+MG, Evanston, UT 84031	2631763	93178
Skanee, MI 49962	Long Trail, Stowe, VT 05672	1550354	62824
Skanee, MI 49962	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	1685389	59447
Skanee, MI 49962	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	3099577	112189
Skanee, MI 49962	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1606862	57543
Skanee, MI 49962	W3206 Co Rd R R, Ogema, WI 54459	288830	12267
Skanee, MI 49962	Trail Lake Trailhead, Dubois, WY 82513	2248884	77703
105 Woodall Mountain Rd, Iuka, MS 38852	Eagle Mountain Trailhead, Grand Marais, MN 55604	1775183	63903
High Point Trail Head, Ironton, MO 63650	Eagle Mountain Trailhead, Grand Marais, MN 55604	1438951	50897
W Rosebud Lake Rd, Fishtail, MT 59028	Eagle Mountain Trailhead, Grand Marais, MN 55604	1671368	61055
Panorama Point, Bushnell, NE 82082	Eagle Mountain Trailhead, Grand Marais, MN 55604	1778177	60222
Boundary Peak Trailhead, Nevada 89010	Eagle Mountain Trailhead, Grand Marais, MN 55604	3194947	111432
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Eagle Mountain Trailhead, Grand Marais, MN 55604	2050589	83388
Monument Rd, Wantage, NJ 07461	Eagle Mountain Trailhead, Grand Marais, MN 55604	2170569	75358
Taos Ski Valley, NM 87525	Eagle Mountain Trailhead, Grand Marais, MN 55604	2246959	79053
Eagle Mountain Trailhead, Grand Marais, MN 55604	Adirondack Loj Rd, Lake Placid, NY 12946	1843957	73153
Mount Mitchell Summit Trail, Burnsville, NC 28714	Eagle Mountain Trailhead, Grand Marais, MN 55604	2056893	73034
White Butte Trl, Bowman, ND 58623	Eagle Mountain Trailhead, Grand Marais, MN 55604	1125453	42256
2280 OH-540, Bellefontaine, OH 43311	Eagle Mountain Trailhead, Grand Marais, MN 55604	1373233	50306
Black Mesa Trail, Kenton, OK 73946	Eagle Mountain Trailhead, Grand Marais, MN 55604	2004720	69625
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Eagle Mountain Trailhead, Grand Marais, MN 55604	2939072	102891
Mount Davis Observation Tower, Fort Hill, PA 15540	Eagle Mountain Trailhead, Grand Marais, MN 55604	1807380	63969
250-216 Hartford Pike, Foster, RI 02825	Eagle Mountain Trailhead, Grand Marais, MN 55604	2475479	85518
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Eagle Mountain Trailhead, Grand Marais, MN 55604	2061707	72768
Palmer Creek Trailhead, Hill City, SD 57745	Eagle Mountain Trailhead, Grand Marais, MN 55604	1406390	49284
Clingmans Dome Tennessee High Point, Tennessee 37738	Eagle Mountain Trailhead, Grand Marais, MN 55604	1916139	68594
Pine Springs Trailhead, Salt Flat, TX 79847	Eagle Mountain Trailhead, Grand Marais, MN 55604	2627644	88651
85GFWM59+MG, Evanston, UT 84031	Eagle Mountain Trailhead, Grand Marais, MN 55604	2473296	87981
Long Trail, Stowe, VT 05672	Eagle Mountain Trailhead, Grand Marais, MN 55604	1907882	78581
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Eagle Mountain Trailhead, Grand Marais, MN 55604	1954577	70313
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Eagle Mountain Trailhead, Grand Marais, MN 55604	2916993	105664
Eagle Mountain Trailhead, Grand Marais, MN 55604	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1995896	71631
W3206 Co Rd R R, Ogema, WI 54459	Eagle Mountain Trailhead, Grand Marais, MN 55604	454726	20092
Trail Lake Trailhead, Dubois, WY 82513	Eagle Mountain Trailhead, Grand Marais, MN 55604	2090418	72506
105 Woodall Mountain Rd, Iuka, MS 38852	High Point Trail Head, Ironton, MO 63650	497077	19662
105 Woodall Mountain Rd, Iuka, MS 38852	W Rosebud Lake Rd, Fishtail, MT 59028	2701302	92500
105 Woodall Mountain Rd, Iuka, MS 38852	Panorama Point, Bushnell, NE 82082	1910692	64444
105 Woodall Mountain Rd, Iuka, MS 38852	Boundary Peak Trailhead, Nevada 89010	3144507	104804
105 Woodall Mountain Rd, Iuka, MS 38852	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	2247205	80159
Monument Rd, Wantage, NJ 07461	105 Woodall Mountain Rd, Iuka, MS 38852	1657068	56878
105 Woodall Mountain Rd, Iuka, MS 38852	Taos Ski Valley, NM 87525	1811733	63921
105 Woodall Mountain Rd, Iuka, MS 38852	Adirondack Loj Rd, Lake Placid, NY 12946	1932768	68129
105 Woodall Mountain Rd, Iuka, MS 38852	Mount Mitchell Summit Trail, Burnsville, NC 28714	743604	28285
White Butte Trl, Bowman, ND 58623	105 Woodall Mountain Rd, Iuka, MS 38852	2302745	78238
2280 OH-540, Bellefontaine, OH 43311	105 Woodall Mountain Rd, Iuka, MS 38852	865050	31434
Black Mesa Trail, Kenton, OK 73946	105 Woodall Mountain Rd, Iuka, MS 38852	1532567	52754
105 Woodall Mountain Rd, Iuka, MS 38852	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	3790794	126943
105 Woodall Mountain Rd, Iuka, MS 38852	Mount Davis Observation Tower, Fort Hill, PA 15540	1206604	42437
105 Woodall Mountain Rd, Iuka, MS 38852	250-216 Hartford Pike, Foster, RI 02825	1916828	65578
105 Woodall Mountain Rd, Iuka, MS 38852	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	719719	25945
105 Woodall Mountain Rd, Iuka, MS 38852	Palmer Creek Trailhead, Hill City, SD 57745	2119009	71042
105 Woodall Mountain Rd, Iuka, MS 38852	Clingmans Dome Tennessee High Point, Tennessee 37738	602850	23846
105 Woodall Mountain Rd, Iuka, MS 38852	Pine Springs Trailhead, Salt Flat, TX 79847	1743690	59605
105 Woodall Mountain Rd, Iuka, MS 38852	85GFWM59+MG, Evanston, UT 84031	2562013	91306
105 Woodall Mountain Rd, Iuka, MS 38852	Long Trail, Stowe, VT 05672	2035566	75242
105 Woodall Mountain Rd, Iuka, MS 38852	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	758544	26766
105 Woodall Mountain Rd, Iuka, MS 38852	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	3887302	134461
105 Woodall Mountain Rd, Iuka, MS 38852	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1134676	42215
105 Woodall Mountain Rd, Iuka, MS 38852	W3206 Co Rd R R, Ogema, WI 54459	1385704	48769
105 Woodall Mountain Rd, Iuka, MS 38852	Trail Lake Trailhead, Dubois, WY 82513	2523090	85938
W Rosebud Lake Rd, Fishtail, MT 59028	High Point Trail Head, Ironton, MO 63650	2301978	78823
Panorama Point, Bushnell, NE 82082	High Point Trail Head, Ironton, MO 63650	1511368	50767
Boundary Peak Trailhead, Nevada 89010	High Point Trail Head, Ironton, MO 63650	2978316	100379
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	High Point Trail Head, Ironton, MO 63650	2210884	79414
Monument Rd, Wantage, NJ 07461	High Point Trail Head, Ironton, MO 63650	1689414	57588
Taos Ski Valley, NM 87525	High Point Trail Head, Ironton, MO 63650	1592528	58726
High Point Trail Head, Ironton, MO 63650	Adirondack Loj Rd, Lake Placid, NY 12946	1901222	66219
Mount Mitchell Summit Trail, Burnsville, NC 28714	High Point Trail Head, Ironton, MO 63650	981881	37551
White Butte Trl, Bowman, ND 58623	High Point Trail Head, Ironton, MO 63650	1903421	64562
2280 OH-540, Bellefontaine, OH 43311	High Point Trail Head, Ironton, MO 63650	807066	28649
Black Mesa Trail, Kenton, OK 73946	High Point Trail Head, Ironton, MO 63650	1298021	46375
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	High Point Trail Head, Ironton, MO 63650	3391470	113266
Mount Davis Observation Tower, Fort Hill, PA 15540	High Point Trail Head, Ironton, MO 63650	1215474	42488
250-216 Hartford Pike, Foster, RI 02825	High Point Trail Head, Ironton, MO 63650	1994324	67748
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	High Point Trail Head, Ironton, MO 63650	986695	37286
Palmer Creek Trailhead, Hill City, SD 57745	High Point Trail Head, Ironton, MO 63650	1719685	57365
Clingmans Dome Tennessee High Point, Tennessee 37738	High Point Trail Head, Ironton, MO 63650	841127	33112
Pine Springs Trailhead, Salt Flat, TX 79847	High Point Trail Head, Ironton, MO 63650	1708474	58796
85GFWM59+MG, Evanston, UT 84031	High Point Trail Head, Ironton, MO 63650	2162689	77630
Long Trail, Stowe, VT 05672	High Point Trail Head, Ironton, MO 63650	2004020	73331
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	High Point Trail Head, Ironton, MO 63650	996821	36032
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	High Point Trail Head, Ironton, MO 63650	3487978	120785
High Point Trail Head, Ironton, MO 63650	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1277789	45030
W3206 Co Rd R R, Ogema, WI 54459	High Point Trail Head, Ironton, MO 63650	1051557	35806
Trail Lake Trailhead, Dubois, WY 82513	High Point Trail Head, Ironton, MO 63650	2123766	72261
W Rosebud Lake Rd, Fishtail, MT 59028	Panorama Point, Bushnell, NE 82082	951225	33069
W Rosebud Lake Rd, Fishtail, MT 59028	Boundary Peak Trailhead, Nevada 89010	1612882	60427
W Rosebud Lake Rd, Fishtail, MT 59028	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	3458349	131120
Monument Rd, Wantage, NJ 07461	W Rosebud Lake Rd, Fishtail, MT 59028	3364420	112710
W Rosebud Lake Rd, Fishtail, MT 59028	Taos Ski Valley, NM 87525	1485944	51533
W Rosebud Lake Rd, Fishtail, MT 59028	Adirondack Loj Rd, Lake Placid, NY 12946	3542865	120581
W Rosebud Lake Rd, Fishtail, MT 59028	Mount Mitchell Summit Trail, Burnsville, NC 28714	3187658	109185
White Butte Trl, Bowman, ND 58623	W Rosebud Lake Rd, Fishtail, MT 59028	599728	22504
2280 OH-540, Bellefontaine, OH 43311	W Rosebud Lake Rd, Fishtail, MT 59028	2567083	87658
Black Mesa Trail, Kenton, OK 73946	W Rosebud Lake Rd, Fishtail, MT 59028	1469676	51489
W Rosebud Lake Rd, Fishtail, MT 59028	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	1396767	49968
W Rosebud Lake Rd, Fishtail, MT 59028	Mount Davis Observation Tower, Fort Hill, PA 15540	3001231	101321
W Rosebud Lake Rd, Fishtail, MT 59028	250-216 Hartford Pike, Foster, RI 02825	3669330	122870
W Rosebud Lake Rd, Fishtail, MT 59028	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	3192472	108919
W Rosebud Lake Rd, Fishtail, MT 59028	Palmer Creek Trailhead, Hill City, SD 57745	708866	25880
W Rosebud Lake Rd, Fishtail, MT 59028	Clingmans Dome Tennessee High Point, Tennessee 37738	3046904	104746
W Rosebud Lake Rd, Fishtail, MT 59028	Pine Springs Trailhead, Salt Flat, TX 79847	2046407	68917
W Rosebud Lake Rd, Fishtail, MT 59028	85GFWM59+MG, Evanston, UT 84031	918427	38771
W Rosebud Lake Rd, Fishtail, MT 59028	Long Trail, Stowe, VT 05672	3645664	127693
W Rosebud Lake Rd, Fishtail, MT 59028	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	3082504	106806
W Rosebud Lake Rd, Fishtail, MT 59028	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	1374688	52741
W Rosebud Lake Rd, Fishtail, MT 59028	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	3189747	108983
W Rosebud Lake Rd, Fishtail, MT 59028	W3206 Co Rd R R, Ogema, WI 54459	1786011	60689
W Rosebud Lake Rd, Fishtail, MT 59028	Trail Lake Trailhead, Dubois, WY 82513	515726	21542
Panorama Point, Bushnell, NE 82082	Boundary Peak Trailhead, Nevada 89010	1559129	55474
Panorama Point, Bushnell, NE 82082	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	3149086	108086
Monument Rd, Wantage, NJ 07461	Panorama Point, Bushnell, NE 82082	2702397	89677
Panorama Point, Bushnell, NE 82082	Taos Ski Valley, NM 87525	672146	24654
Panorama Point, Bushnell, NE 82082	Adirondack Loj Rd, Lake Placid, NY 12946	2880842	97548
Mount Mitchell Summit Trail, Burnsville, NC 28714	Panorama Point, Bushnell, NE 82082	2396215	81092
White Butte Trl, Bowman, ND 58623	Panorama Point, Bushnell, NE 82082	716512	26509
2280 OH-540, Bellefontaine, OH 43311	Panorama Point, Bushnell, NE 82082	1905060	64626
Black Mesa Trail, Kenton, OK 73946	Panorama Point, Bushnell, NE 82082	567104	22107
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Panorama Point, Bushnell, NE 82082	1921794	65096
Panorama Point, Bushnell, NE 82082	Mount Davis Observation Tower, Fort Hill, PA 15540	2339207	78288
250-216 Hartford Pike, Foster, RI 02825	Panorama Point, Bushnell, NE 82082	3007307	99837
Panorama Point, Bushnell, NE 82082	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	2401029	80826
Panorama Point, Bushnell, NE 82082	Palmer Creek Trailhead, Hill City, SD 57745	425059	16276
Clingmans Dome Tennessee High Point, Tennessee 37738	Panorama Point, Bushnell, NE 82082	2255461	76652
Panorama Point, Bushnell, NE 82082	Pine Springs Trailhead, Salt Flat, TX 79847	1232609	42038
Panorama Point, Bushnell, NE 82082	85GFWM59+MG, Evanston, UT 84031	837477	32023
Panorama Point, Bushnell, NE 82082	Long Trail, Stowe, VT 05672	2983641	104660
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Panorama Point, Bushnell, NE 82082	2324275	79663
Panorama Point, Bushnell, NE 82082	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	2018302	72614
Panorama Point, Bushnell, NE 82082	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2455163	83935
Panorama Point, Bushnell, NE 82082	W3206 Co Rd R R, Ogema, WI 54459	1641665	54354
Panorama Point, Bushnell, NE 82082	Trail Lake Trailhead, Dubois, WY 82513	654090	24091
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Boundary Peak Trailhead, Nevada 89010	4687538	160608
Monument Rd, Wantage, NJ 07461	Boundary Peak Trailhead, Nevada 89010	4240849	142199
Boundary Peak Trailhead, Nevada 89010	Taos Ski Valley, NM 87525	1573350	55438
Boundary Peak Trailhead, Nevada 89010	Adirondack Loj Rd, Lake Placid, NY 12946	4419294	150070
Mount Mitchell Summit Trail, Burnsville, NC 28714	Boundary Peak Trailhead, Nevada 89010	3822556	128192
White Butte Trl, Bowman, ND 58623	Boundary Peak Trailhead, Nevada 89010	2028066	71019
2280 OH-540, Bellefontaine, OH 43311	Boundary Peak Trailhead, Nevada 89010	3443512	117147
Black Mesa Trail, Kenton, OK 73946	Boundary Peak Trailhead, Nevada 89010	1845129	62869
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Boundary Peak Trailhead, Nevada 89010	1172274	44181
Mount Davis Observation Tower, Fort Hill, PA 15540	Boundary Peak Trailhead, Nevada 89010	3877659	130809
250-216 Hartford Pike, Foster, RI 02825	Boundary Peak Trailhead, Nevada 89010	4545759	152359
Boundary Peak Trailhead, Nevada 89010	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	3817024	127430
Boundary Peak Trailhead, Nevada 89010	Palmer Creek Trailhead, Hill City, SD 57745	1784712	62917
Clingmans Dome Tennessee High Point, Tennessee 37738	Boundary Peak Trailhead, Nevada 89010	3681803	123753
Boundary Peak Trailhead, Nevada 89010	Pine Springs Trailhead, Salt Flat, TX 79847	1754327	60357
85GFWM59+MG, Evanston, UT 84031	Boundary Peak Trailhead, Nevada 89010	928184	36019
Boundary Peak Trailhead, Nevada 89010	Long Trail, Stowe, VT 05672	4522093	157182
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Boundary Peak Trailhead, Nevada 89010	3837497	126673
Boundary Peak Trailhead, Nevada 89010	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	1432111	57119
Boundary Peak Trailhead, Nevada 89010	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	3962525	135711
Boundary Peak Trailhead, Nevada 89010	W3206 Co Rd R R, Ogema, WI 54459	3084227	105092
Trail Lake Trailhead, Dubois, WY 82513	Boundary Peak Trailhead, Nevada 89010	1362718	49863
Monument Rd, Wantage, NJ 07461	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	639467	25895
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Taos Ski Valley, NM 87525	3648136	127685
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Adirondack Loj Rd, Lake Placid, NY 12946	332897	18668
Mount Mitchell Summit Trail, Burnsville, NC 28714	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	1734081	64243
White Butte Trl, Bowman, ND 58623	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	2912366	112576
2280 OH-540, Bellefontaine, OH 43311	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	1451149	53191
Black Mesa Trail, Kenton, OK 73946	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	3315387	116486
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	5028895	171030
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Mount Davis Observation Tower, Fort Hill, PA 15540	1137544	43761
250-216 Hartford Pike, Foster, RI 02825	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	373530	16447
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1797568	66160
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Palmer Creek Trailhead, Hill City, SD 57745	3241462	112497
Clingmans Dome Tennessee High Point, Tennessee 37738	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	1785791	66427
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Pine Springs Trailhead, Salt Flat, TX 79847	3793588	131283
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	85GFWM59+MG, Evanston, UT 84031	3944578	137957
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Long Trail, Stowe, VT 05672	212358	13084
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	1536140	56328
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4703905	175983
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1246051	48818
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	W3206 Co Rd R R, Ogema, WI 54459	1869289	74967
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Trail Lake Trailhead, Dubois, WY 82513	3761191	130025
Monument Rd, Wantage, NJ 07461	Taos Ski Valley, NM 87525	3119150	105827
Monument Rd, Wantage, NJ 07461	Adirondack Loj Rd, Lake Placid, NY 12946	422813	15150
Monument Rd, Wantage, NJ 07461	Mount Mitchell Summit Trail, Burnsville, NC 28714	1154885	40940
Monument Rd, Wantage, NJ 07461	White Butte Trl, Bowman, ND 58623	2817702	94136
Monument Rd, Wantage, NJ 07461	2280 OH-540, Bellefontaine, OH 43311	922163	31333
Monument Rd, Wantage, NJ 07461	Black Mesa Trail, Kenton, OK 73946	2786401	94628
Monument Rd, Wantage, NJ 07461	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	4580829	152481
Monument Rd, Wantage, NJ 07461	Mount Davis Observation Tower, Fort Hill, PA 15540	545947	19721
Monument Rd, Wantage, NJ 07461	250-216 Hartford Pike, Foster, RI 02825	308413	11949
Monument Rd, Wantage, NJ 07461	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1209284	42706
Monument Rd, Wantage, NJ 07461	Palmer Creek Trailhead, Hill City, SD 57745	2747793	91499
Monument Rd, Wantage, NJ 07461	Clingmans Dome Tennessee High Point, Tennessee 37738	1197507	42973
Monument Rd, Wantage, NJ 07461	Pine Springs Trailhead, Salt Flat, TX 79847	3264602	109425
Monument Rd, Wantage, NJ 07461	85GFWM59+MG, Evanston, UT 84031	3496512	119409
Monument Rd, Wantage, NJ 07461	Long Trail, Stowe, VT 05672	500436	21591
Monument Rd, Wantage, NJ 07461	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	947856	32874
Monument Rd, Wantage, NJ 07461	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4609242	157543
Monument Rd, Wantage, NJ 07461	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	657767	25364
Monument Rd, Wantage, NJ 07461	W3206 Co Rd R R, Ogema, WI 54459	1780272	60243
Monument Rd, Wantage, NJ 07461	Trail Lake Trailhead, Dubois, WY 82513	3313125	111476
Taos Ski Valley, NM 87525	Adirondack Loj Rd, Lake Placid, NY 12946	3334737	114321
Mount Mitchell Summit Trail, Burnsville, NC 28714	Taos Ski Valley, NM 87525	2489986	87304
White Butte Trl, Bowman, ND 58623	Taos Ski Valley, NM 87525	1339849	47303
2280 OH-540, Bellefontaine, OH 43311	Taos Ski Valley, NM 87525	2240581	76752
Black Mesa Trail, Kenton, OK 73946	Taos Ski Valley, NM 87525	370600	16162
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Taos Ski Valley, NM 87525	2201713	78570
Mount Davis Observation Tower, Fort Hill, PA 15540	Taos Ski Valley, NM 87525	2648989	90590
250-216 Hartford Pike, Foster, RI 02825	Taos Ski Valley, NM 87525	3427839	115851
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Taos Ski Valley, NM 87525	2484454	86541
Palmer Creek Trailhead, Hill City, SD 57745	Taos Ski Valley, NM 87525	1048396	37070
Clingmans Dome Tennessee High Point, Tennessee 37738	Taos Ski Valley, NM 87525	2349232	82864
Pine Springs Trailhead, Salt Flat, TX 79847	Taos Ski Valley, NM 87525	671044	25344
85GFWM59+MG, Evanston, UT 84031	Taos Ski Valley, NM 87525	929906	39756
Long Trail, Stowe, VT 05672	Taos Ski Valley, NM 87525	3437535	121433
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Taos Ski Valley, NM 87525	2504926	85785
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Taos Ski Valley, NM 87525	2298221	86088
Taos Ski Valley, NM 87525	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2721312	93580
W3206 Co Rd R R, Ogema, WI 54459	Taos Ski Valley, NM 87525	2110410	72863
Trail Lake Trailhead, Dubois, WY 82513	Taos Ski Valley, NM 87525	1162999	42036
Mount Mitchell Summit Trail, Burnsville, NC 28714	Adirondack Loj Rd, Lake Placid, NY 12946	1552018	54465
White Butte Trl, Bowman, ND 58623	Adirondack Loj Rd, Lake Placid, NY 12946	2995632	101875
2280 OH-540, Bellefontaine, OH 43311	Adirondack Loj Rd, Lake Placid, NY 12946	1135410	39932
Black Mesa Trail, Kenton, OK 73946	Adirondack Loj Rd, Lake Placid, NY 12946	2999648	103227
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Adirondack Loj Rd, Lake Placid, NY 12946	4758759	160221
Mount Davis Observation Tower, Fort Hill, PA 15540	Adirondack Loj Rd, Lake Placid, NY 12946	951612	33498
250-216 Hartford Pike, Foster, RI 02825	Adirondack Loj Rd, Lake Placid, NY 12946	467964	16696
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Adirondack Loj Rd, Lake Placid, NY 12946	1606416	56232
Palmer Creek Trailhead, Hill City, SD 57745	Adirondack Loj Rd, Lake Placid, NY 12946	2925723	99238
Clingmans Dome Tennessee High Point, Tennessee 37738	Adirondack Loj Rd, Lake Placid, NY 12946	1594640	56499
Pine Springs Trailhead, Salt Flat, TX 79847	Adirondack Loj Rd, Lake Placid, NY 12946	3477849	118024
85GFWM59+MG, Evanston, UT 84031	Adirondack Loj Rd, Lake Placid, NY 12946	3674442	127148
Long Trail, Stowe, VT 05672	Adirondack Loj Rd, Lake Placid, NY 12946	164212	11027
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Adirondack Loj Rd, Lake Placid, NY 12946	1344989	46399
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Adirondack Loj Rd, Lake Placid, NY 12946	4787172	165282
Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	Adirondack Loj Rd, Lake Placid, NY 12946	1054900	38890
W3206 Co Rd R R, Ogema, WI 54459	Adirondack Loj Rd, Lake Placid, NY 12946	1597804	63664
Trail Lake Trailhead, Dubois, WY 82513	Adirondack Loj Rd, Lake Placid, NY 12946	3491055	119216
White Butte Trl, Bowman, ND 58623	Mount Mitchell Summit Trail, Burnsville, NC 28714	2700783	91749
